images\med_7d5c2b99_013.png	carbimazole 5mg
images\med_deb81d93_003.png	GSK INDIA
images\med_db966d24_015.png	cipla
images\med_cc016fbc_024.png	AZITHRAL 500MG
images\med_81d90895_002.png	cholecalciferol 60000 iu
images\med_07dac638_020.png	BECOSULES CAPSULE CAPSULE
images\med_280c681a_009.png	Levonorgestrel 1.5mg
images\med_294952e4_021.png	compound
images\med_5d008352_002.png	Fluoxetine20mg
images\med_be0f137d_012.png	ElderPharma
images\med_1e668cd4_011.png	Telma40mg
images\med_deb81d93_013.png	gsk india
images\med_e93a0754_014.png	Paracetamol 650mg
images\med_f9979576_007.png	sun pharma
images\med_696ae1bd_001.png	cholecalciferol 60000 iu
images\med_a9a99c83_007.png	TAMSULOSIN HCL
images\med_be0f137d_014.png	500mg + 250 iu
images\med_2aefc1e7_024.png	MOX 500MG CAPSULE
images\med_f162e9c8_022.png	20Mg
images\med_be0f137d_030.png	CALCIUM CARBONATE + VITAMIN D3 500MG + 250 IU
images\med_168cba08_006.png	Promethazine HCl
images\med_8b4252b2_019.png	Itraconazole100mg
images\med_a960b0ea_025.png	phenytoin sodium
images\med_8b4252b2_001.png	Itraconazole 100mg
images\med_64f45aaa_012.png	Furosemide 40Mg
images\med_7c8a8df6_021.png	Metronidazole 400mg
images\med_635f0b97_007.png	N-ACETYLCYSTEINE 600MG
images\med_0f1728cf_022.png	4MG
images\med_d7548961_004.png	GABAPENTIN 300MG
images\med_5a6bf418_027.png	Levothyroxine 50Mcg
images\med_e7334590_023.png	doxycycline 100mg capsule
images\med_3a1940c1_025.png	Ranitidine Hcl
images\med_7f6dd7f5_020.png	400MG
images\med_8fb8564a_008.png	Salbutamol100mcg
images\med_635f0b97_026.png	N-Acetylcysteine
images\med_cb7204d4_026.png	Duphaston 10 mg
images\med_befd0233_025.png	novartis india
images\med_e7334590_026.png	DoxycyclineHyclate
images\med_0b20efea_000.png	Nimesulide100mgTablet
images\med_de61ea08_001.png	loratadine 10mg
images\med_f12eb12e_019.png	Rosuvastatin 10Mg Tablet
images\med_ecd67f3a_004.png	TRETINOIN
images\med_659bda0a_023.png	5MG
images\med_0f285d70_011.png	gsk india
images\med_e7334590_001.png	Doxycycline Hyclate 100 mg
images\med_07dac638_006.png	Pfizer India
images\med_5a6bf418_005.png	Levothyroxine
images\med_db3d2896_019.png	Diclofenac Sodium 50Mg
